age_months,n_tokens
12,38529
15,73238
18,119762
21,236653
24,610253
27,657513
30,737226
33,688978
36,672455
39,245677
42,196421
45,165551
48,178963
51,137092
54,113568
57,145609
60,95654
63,64234
66,86172
69,66294
